,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
24h,9,1,4,0,1,4,1,0
25,66,13,12,14,10,20,12,11
250,6,1,0,0,0,5,1,1
2500,1,1,0,0,0,0,1,1
250e,1,0,0,0,0,0,0,1
250euros,1,0,0,0,0,1,0,0
250g,1,0,0,0,0,0,0,1
2519,1,0,0,0,0,0,1,0
253,0,1,1,0,0,0,0,0
254,1,0,0,0,1,0,0,0
259,1,0,0,0,0,0,1,0
25ans,1,1,0,0,1,0,0,1
25décembre,1,0,0,0,0,0,1,0
25e,2,0,0,0,0,0,2,0
25m,1,0,0,0,1,0,0,0
25min,4,2,3,1,0,1,1,0
25pour,1,0,1,0,0,0,0,0
26,18,2,0,5,0,3,5,7
260,1,0,0,0,0,0,1,0
26ans,1,0,1,0,0,0,0,0
26au,1,0,0,0,0,0,1,0
26mois,1,0,1,0,0,0,0,0
26nov,1,0,0,0,0,0,1,0
26sec,0,1,1,0,0,0,0,0
27,18,11,5,5,2,2,7,8
270,0,1,0,0,0,0,0,1
2700,1,0,0,0,0,0,1,0
275,2,0,0,2,0,0,0,0
279euro,1,0,0,0,0,0,1,0
27ans,1,0,0,0,0,0,1,0
